market_type,assets_id,assets_short_cn_name,assets_full_cn_name,party_short_cn_name,party_short_en_name,party_full_cn_name,party_full_en_name,party_url,description,location,founding_time,listing_time,section_tags,stakeholders
H股,00033.XHKG,安山金控,安山金控,安山金控,AMBER HILL FIN,安山金控股份有限公司,Amber Hill Financial Holdings Limited,http://www.ahfh.com.hk,"安山金控股份有限公司(原名:中国云铜股份有限公司)是一家主要从事保安产品贸易及提供保安服务的投资控股公司。本公司通过五个分部运营,包括保安产品贸易及提供保安服务分部,派对产品贸易分部,放债业务分部,证券经纪及资产管理及其他分部。其他分部从事金属及矿产贸易和信用担保及投资业务。",香港干诺道中62–63号中兴商业大厦5楼A室,2007-03-20,2007-11-19,家庭电器及用品,,
H股,00034.XHKG,九龙建业,九龙建业,九龙建业,KOWLOON DEV,九龙建业有限公司,Kowloon Development Company Limited,http://www.kdc.com.hk,九龙建业有限公司是一家主要从事物业业务的香港投资控股公司。该公司通过四大业务分部运营。物业发展分部在香港、中国内地及澳门从事物业发展和物业及物业发展权益出售业务。物业投资分部从事物业租赁业务。石油业务分部从事石油勘探及生产业务。其他业务分部从事金融投资业务、提供财务服务、制冰业务、提供冷藏服务以及财务营运业务。,香港九龙旺角弥敦道750号始创中心23楼,1961-01-24,1995-07-04,地产,,
H股,00035.XHKG,远东发展,远东发展,远东发展,FE CONSORT INTL,远东发展有限公司,Far East Consortium International Limited,http://www.fecil.com.hk,远东发展有限公司是一家从事物业业务的香港投资控股公司。公司及其子公司通过六大分部运营：物业发展分部，帝盛及其附属公司之业务分部，停车场业务及设施管理分部，证券及金融产品投资分部，物业投资分部以及其他业务分部。物业发展分部从事住宅发展项目。帝盛及其附属公司之业务分部从事经营位于香港，马来西亚，中国内地，新加坡，英国等地的酒店。停车场业务及设施管理分部从事经营停车场及提供物业管理服务。,香港德辅道中121号远东发展大厦16楼,,1972-09-21,地产,,
H股,00036.XHKG,远东控股,远东控股国际,远东控股国际,FE HLDGS INTL,远东控股国际有限公司,Far East Holdings International Limited,www.0036.com.hk,远东控股国际有限公司是一家主要从事服装制造的香港投资控股公司。该公司通过三大分部运营。工业分部从事成服制造及销售。证券投资分部从事短期证券投资。其他业务分部从事物业投资。其主要子公司包括力盈远东有限公司及濠喜有限公司等。,香港上环皇后大道中287 – 299号299QRC 9楼902室,1972-11-28,1973-02-12,纺织、服饰及个人护理,,
H股,00037.XHKG,远东酒店,远东酒店实业,远东酒店实业,FE HOTELS,远东酒店实业有限公司,Far East Hotels And Entertainment Limited,www.tricor.com.hk/webservice/00037,远东酒店实业有限公司是一家主要从事酒店运营香港投资控股公司。其业务包括酒店运营、物业投资及发展以及证券买卖。该公司通过五大分部运营：香港酒店运营分部、中国服务式物业出租分部、香港物业投资分部、海外物业投资分部及证券投资及买卖分部。该公司旗下物业包括帝景峰15号1楼及2楼和位于香港新界元朗的土地等。,香港湾仔告士打道200号，新银集团中心19楼1902室,1978-10-20,1979-07-03,酒店、赌场及消闲设施,,
H股,00038.XHKG,第一拖拉机,第一拖拉机股份,第一拖拉机股份,FIRST TRACTOR,第一拖拉机股份有限公司,First Tractor Company Limited,http://www.first-tractor.com.cn,第一拖拉机股份有限公司是一家主要从事机械产品研发、制造和销售的中国公司。该公司的机械产品主要包括农业机械、动力机械及其零部件产品。该公司提供拖拉机产品、柴油机产品及其他机械产品。该公司于国内市场及海外市场销售其产品。,香港中环干诺道中30-32号庄士大厦15楼,1998-12-28,1997-06-23,工业工程,,
H股,00039.XHKG,中国北大荒,中国北大荒,中国北大荒,CH BEIDAHUANG,中国北大荒产业集团控股有限公司,China Beidahuang Industry Group Holdings Limited,www.irasia.com/listco/hk/chinabeidahuang,中国北大荒产业集团控股有限公司是一家主要从事酿酒业务的香港投资控股公司。该公司通过五大分部运营。酒类分部从事酒类产品的销售及分销。绿色食品分部从事主食、食用油、酒类、饮料及其他食品的批发及零售。动物饲料分部从事粗饲料的生产及销售。物流仓储分部从事物流设施的租赁。放贷分部提供放贷服务。,香港九龙九龙湾宏光道8号创豪坊2楼225室,,2001-01-16,零售,,
H股,00040.XHKG,金山工业,金山工业,金山工业,GOLD PEAK,金山工业(集团)有限公司,Gold Peak Industries(Holdings)Limited,www.goldpeak.com,金山工业（集团）有限公司是一家主要从事电池的制造和销售的投资控股公司。该公司通过三大分部运营。电池分部从事电池及电池相关产品的研发，生产及推广。电池包括一次性特种电池，一次性柱型电池以及充电池。电子分部主要从事电子产品，扬声器以及汽车配线的研发，生产及推广。其他投资分部持有主要经营销售及推广业务的其他投资。,香港新界白石角香港科学园第三期科技大道西 12 号 9 楼,1977-06-30,1984-07-02,家庭电器及用品,,
H股,00041.XHKG,鹰君,鹰君集团,鹰君集团,GREAT EAGLE H,鹰君集团有限公司,Great Eagle Holdings Limited,http://www.GreatEagle.com.hk,鹰君集团有限公司是一家主要从事经营酒店的投资控股公司。公司及其子公司通过七大分部运营：酒店业务分部，冠君产业信托之业绩分部，朗廷酒店投资之业绩分部，物业投资分部，美国房地产基金分部，物业发展分部，以及其他业务分部。酒店业务分部从事酒店膳宿、餐饮与宴会业务及酒店管理。物业投资分部从事住寓租赁，出租具有投资增值而持有之物业。其亦提供物业管理服务。物业发展分部通过腾宝投资有限公司等在内的附属公司从事出售物业。,香港湾仔港湾道23号鹰君中心33楼,,1972-10-26,地产,,
H股,00042.XHKG,东北电气,东北电气,东北电气,NE ELECTRIC,东北电气发展股份有限公司,Northeast Electrical Transmission &Transformation Machinery Manufacturing Company Limited,www.nee.com.cn,东北电气发展股份有限公司是一家主要从事输变电设备的研发、设计、生产和销售的中国公司。该公司的主要产品包括电力电容器、封闭母线和高压开关组合电器等。该公司的产品主要应用于电力系统领域，用以改善电力系统的电压质量和提高输电线路的输电能。该公司的产品主要在中国国内市场销售，其中东北地区和华北地区为其主要市场。,香港湾仔谭臣道98号运盛大厦17楼,1998-05-13,1995-07-06,工业工程,,
